S. No,Difficulty,Question Content (in Markdown),Question_short_text,Sub_Topics,Code_language,Solution Code,Front_Code_language,Prefilled Code For Each Code Language,Test_case_input,Test_case_output,Test_case_type,Code_language,Backend Code,is_valid
,,,,,,,,,"8
7 4 3 2 1 6 5 8",8 6 6 6 6 8 8 -1,NORMAL_CASE,,,
,,,,,,,,,,,,,,
5,EASY,"### Immediate Larger Value
Create the function `immediate_larger_value` which takes a list of integers `values` and its size `num` as arguments, and returns an updated list such that each number in the updated list will be the Immediate Larger Value (ILV) for that number.

*Immediate Larger Value of `values[i]` will be the first `values[j]` such that:*

- *`values[i]` < `values[j]` and j > i*

*If there is no Immediate Larger Value for values[i], consider it as -1.*

*Note: You need not write code to handle input and output.*

---

#### Input Format

- First line consists of an integer `num`, representing the number of integers in `values`.
- Second line contains `num` space-separated integers representing the numbers in `values`.

---

#### Output Format

- Print `num` space-separated integers representing the immediate larger value for each of the numbers in `values`.

---

#### Example
###### Input:
    5
    9 1 7 3 2
    
###### Output:
    -1 7 -1 -1 -1
    
###### Explanation
For the given array,

- The immediate larger value for 9 is -1.
- The immediate larger value for 1 is 7.
- The immediate larger value for 7 is -1.
- The immediate larger value for 3 is -1.
- The immediate larger value for 2 is -1.

---

#### Constraints

- 1 <= `num` <= 1000
- 0 <= `values[i]` <= 1000

---",Immediate Larger Value,DATA_TYPE_LIST,PYTHON,"def immediate_larger_value(values):
    num = len(values)
    result = [-1] * num
    for i in range(num):
        for j in range(i + 1, num):
            if values[i] < values[j]:
                result[i] = values[j]
                break
    return result
",PYTHON,"def immediate_larger_value(values):
    # Write your code here
    return []
",,,,PYTHON,"def main():
    num = int(input())
    values = list(map(int, input().strip().split()))
    result = immediate_larger_value(values)
    print(' '.join(map(str, result)))

if __name__ == ""__main__"":
    main()
",true
,,,,,JAVA,"import java.util.*;

public class Solution {
    public static int[] immediateLargerValue(int[] values) {
        int num = values.length;
        int[] result = new int[num];
        Arrays.fill(result, -1);
        for (int i = 0; i < num; i++) {
            for (int j = i + 1; j < num; j++) {
                if (values[i] < values[j]) {
                    result[i] = values[j];
                    break;
                }
            }
        }
        return result;
    }
}
",JAVA,"public class Solution {
    public static int[] immediateLargerValue(int[] values) {
        // Write your code here
        return new int[0];
    }
}
","5
9 1 7 3 2",-1 7 -1 -1 -1,NORMAL_CASE,JAVA,"import java.util.*;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int num = scanner.nextInt();
        int[] values = new int[num];
        for (int i = 0; i < num; i++) {
            values[i] = scanner.nextInt();
        }
        scanner.close();
        Solution solution = new Solution();
        int[] result = solution.immediateLargerValue(values);
        for (int value : result) {
            System.out.print(value + "" "");
        }
        System.out.println();
    }
}
",
,,,,,CPP,"#include <vector>
#include <iostream>
using namespace std;

vector<int> immediate_larger_value(vector<int>& values) {
    int num = values.size();
    vector<int> result(num, -1);
    for (int i = 0; i < num; i++) {
        for (int j = i + 1; j < num; j++) {
            if (values[i] < values[j]) {
                result[i] = values[j];
                break;
            }
        }
    }
    return result;
}
",CPP,"#include <vector>
using namespace std;

vector<int> immediate_larger_value(vector<int>& values) {
    // Write your code here
    return vector<int>();
}
","3
4 5 6",5 6 -1,NORMAL_CASE,CPP,"#include <bits/stdc++.h>
using namespace std;

#ifndef SOLUTION_H
#define SOLUTION_H
vector<int> immediate_larger_value(vector<int>& values);
#endif

int main() {
    int num;
    cin >> num;
    vector<int> values(num);
    for (int i = 0; i < num; i++) {
        cin >> values[i];
    }
    vector<int> result = immediate_larger_value(values);
    for (int i = 0; i < num; i++) {
        cout << result[i] << "" "";
    }
    cout << endl;
    return 0;
}
",
,,,,,C,"#include <stdio.h>

void immediate_larger_value(int values[], int num, int result[]) {
    for (int i = 0; i < num; i++) {
        int found = 0;
        for (int j = i + 1; j < num; j++) {
            if (values[i] < values[j]) {
                result[i] = values[j];
                found = 1;
                break;
            }
        }
        if (!found) {
            result[i] = -1;
        }
    }
}
",C,"#include <stdio.h>

void immediate_larger_value(int values[], int num, int result[]);

void immediate_larger_value(int values[], int num, int result[]) {
    // Write your code here
}
","1
0",-1,EDGE_CASE,C,"#include <stdio.h>

#ifndef FILE1_H
#define FILE1_H
void immediate_larger_value(int values[], int num, int result[]);
#endif

int main() {
    int num;
    scanf(""%d"", &num);
    int values[num];
    for (int i = 0; i < num; i++) {
        scanf(""%d"", &values[i]);
    }
    int result[num];
    immediate_larger_value(values, num, result);
    for (int i = 0; i < num; i++) {
        printf(""%d "", result[i]);
    }
    printf(""\n"");
    return 0;
}",
,,,,,,,,,"2
10 20",20 -1,NORMAL_CASE,,,
,,,,,,,,,"2
20 10",-1 -1,NORMAL_CASE,,,
,,,,,,,,,"6
10 5 8 3 6 2",-1 8 -1 6 -1 -1,NORMAL_CASE,,,
,,,,,,,,,"5
1000 998 999 500 100",-1 999 -1 -1 -1,EDGE_CASE,,,
,,,,,,,,,"10
1 2 3 4 5 6 7 8 9 10",2 3 4 5 6 7 8 9 10 -1,NORMAL_CASE,,,
,,,,,,,,,"9
9 8 7 6 5 4 3 2 1",-1 -1 -1 -1 -1 -1 -1 -1 -1,NORMAL_CASE,,,
,,,,,,,,,"8
1 3 2 5 4 7 6 8",3 5 5 7 7 8 8 -1,NORMAL_CASE,,,
,,,,,,,,,"7
13 6 9 12 7 10 8",-1 9 12 -1 10 -1 -1,NORMAL_CASE,,,
,,,,,,,,,"4
40 50 20 30",50 -1 30 -1,NORMAL_CASE,,,
,,,,,,,,,"6
20 21 19 22 18 23",21 22 22 23 23 -1,NORMAL_CASE,,,
,,,,,,,,,"10
100 200 300 200 100 300 400 100 200 300",200 300 400 300 300 400 -1 200 300 -1,NORMAL_CASE,,,
,,,,,,,,,"12
10 20 30 40 50 60 70 80 90 100 110 120",20 30 40 50 60 70 80 90 100 110 120 -1,NORMAL_CASE,,,
,,,,,,,,,"11
34 23 15 78 33 45 67 89 43 65 87",78 78 78 -1 45 67 89 -1 65 87 -1,NORMAL_CASE,,,
,,,,,,,,,"9
5 10 6 12 8 15 7 17 9",10 12 12 15 15 17 17 -1 -1,NORMAL_CASE,,,
,,,,,,,,,"8
3 12 5 18 9 21 10 24",12 18 18 21 21 24 24 -1,NORMAL_CASE,,,
,,,,,,,,,"7
19 11 25 13 22 14 18",25 25 -1 22 -1 18 -1,NORMAL_CASE,,,
,,,,,,,,,"10
90 45 60 23 30 50 70 20 40 35",-1 60 70 30 50 70 -1 40 -1 -1,NORMAL_CASE,,,
,,,,,,,,,"5
30 60 10 40 20",60 -1 40 -1 -1,NORMAL_CASE,,,
,,,,,,,,,"3
1 10 100",10 100 -1,NORMAL_CASE,,,
,,,,,,,,,"10
2 4 8 16 32 64 128 256 512 1024",4 8 16 32 64 128 256 512 1024 -1,NORMAL_CASE,,,
,,,,,,,,,"5
500 100 200 400 300",-1 200 400 -1 -1,NORMAL_CASE,,,
,,,,,,,,,"7
15 12 16 10 14 18 13",16 16 18 14 18 -1 -1,NORMAL_CASE,,,
,,,,,,,,,"8
20 25 22 27 23 29 24 30",25 27 27 29 29 30 30 -1,NORMAL_CASE,,,
,,,,,,,,,"6
8 14 18 20 10 24",14 18 20 24 24 -1,NORMAL_CASE,,,
,,,,,,,,,"9
1 3 2 4 5 6 7 9 8",3 4 4 5 6 7 9 -1 -1,NORMAL_CASE,,,
,,,,,,,,,"12
20 18 16 14 12 10 8 6 4 2 0 22",22 22 22 22 22 22 22 22 22 22 22 -1,NORMAL_CASE,,,
,,,,,,,,,"5
99 1 99 1 100",100 99 100 100 -1,NORMAL_CASE,,,
,,,,,,,,,,,,,,
